a lot	a lot: adv. muito
sure enough	sure enough: adv. efectivamente, sure enough: adv. efetivamente
surely	surely: adv. seguramente, surely: adv. por certo
surpass	vt 1 sobrepujar, superar. 2 ultrapassar, exceder. not to be surpassed insuperável.
surprise	 n 1 surpresa, coisa inesperada. I got the surprise of my life / foi uma surpresa para mim. 2 sobressalto. 3 emoção, perplexidade, pasmo. • vt 1 espantar, surpreender, pasmar. 2 atacar de surpresa, pegar de surpresa, surpreender, apanhar de improviso, aparecer inesperadamente. her behaviour surprised me / seu comportamento me surpreendeu. 3 abismar. • adj de surpresa, surpreendente. to my great surprise para grande espanto meu. to take by surprise pegar em flagrante, pegar de surpresa, espantar. you took me by surprise / você me pegou de surpresa.
surprising	 adj surpreendente, inesperado, imprevisto.
surprisingly	adv surpreendentemente, inesperadamente.
surrogacy	n o estado, qualidade de ser um substituto.
surround	n borda, orla, parte circunja­cente. • vt 1 fechar, rodear, envolver. 2 cercar, circundar.
surroundings	 n pl 1 arredores. 2 am­bi­ente. 3 circunstâncias.
surveillance	 n 1 vigilância. 2 supervi­são, fiscalização.
survivable	adj que permite ou resulta em sobrevivência.
survival	 n 1 sobrevivência. 2 pessoa, coisa, costume, etc. que sobrevive. survival of the fittest sobrevivência dos mais aptos, seleção natural.
survive	vt 1 viver mais, permanecer vivo. 2 sobreviver. 3 subsistir, permanecer, remanescer.
susceptibilities	 n pl pontos sensíveis, suscetibilidades.
susceptible	 adj 1 suscetível, sensível. 2 delicado, impressionável, influenciável, emotivo. susceptible of suscetível de. susceptible to sujeito a, sensível a.
suspect	 n suspeito, pessoa suspeita. • [s2p´ekt] vt+vi 1 imaginar, pensar, conjeturar, supor, presumir. I wouldn’t have suspected it / nunca o teria imaginado. 2 suspeitar, desconfiar. we suspect him of theft / suspeitamos que ele é ladrão. 3 duvidar. I suspect her courage / duvido de sua coragem. • adj suspeito, suspeitoso, duvidoso.
suspend	vt+vi 1 suspender, pendurar. it was suspended from the ceiling by a thread / estava suspenso do forro por um fio. 2 suspender, afastar, interromper temporariamente. 3 deixar pendente, deter, sustar, adiar.
suspension	 n 1 interrupção, paralisação, adiamento, prazo, mora. 2 suporte para suspensão. 3 suspensão, interrupção temporária, adiamento. 4 Mech suspensão. 5 Phys, Chem suspensão. 6 Mus prolongamento, suspensão. 7 Com suspensão dos pagamentos, falência. suspension of arms ou hostilities armistício. suspension of payment suspensão dos pagamentos.
suspicion	 n 1 dúvida, suspeita. this casts a suspicion on him / isto torna-o suspeito. 2 desconfiança. 3 quantidade muito pequena, traço, indício. above suspicion acima de qualquer suspeita. on suspicion of treachery sob a suspeita de traição. to remove a suspicion afastar uma suspeita.
suspicious	 adj 1 suspeito, duvidoso. 2 desconfiado, receoso, suspeitoso.
sustain	vt 1 sustentar, ajudar, assistir, manter, confortar, aliviar. 2 suprir, abastecer, sustentar. 3 suportar, segurar. 4 tolerar, agüentar. he does not sustain a comparison with his brother / não se pode compará-lo ao seu irmão. 5 sofrer, experimentar. he sustained a bad injury / ele sofreu um ferimento grave. 6 permitir, admitir, favorecer. 7 concordar com, confirmar, sancionar, apoiar, encorajar. 8 Mus sustentar.
suttee	 n India sati: 1 costume hindu de queimar a viúva com os restos mortais do seu marido. 2 a viúva queimada.
suzerainty	 n suserania.
swear	n praga, imprecação, palavrão. • vt (ps swore, pp sworn) 1 jurar, prestar juramento. I have sworn to myself never to drink again / jurei nunca mais beber. he was sworn a member / ele prestou juramento como membro. 2 fazer jurar. 3 declarar (sob juramento). 4 contratar ou admitir sob juramento. 5 prometer solenemente, fazer voto ou promessa. 6 xingar. 7 praguejar, blasfemar, falar palavrões. to swear at maldizer, rogar pragas. he swears at his work / ele maldiz seu trabalho. to swear by ter confiança em. he swears by his friend / ele tem muita confiança em seu amigo. he swears by his daily bath / ele acredita no efeito de seu banho diário. to swear off prometer que vai parar de fazer algo que faz mal. I have sworn off cards / jurei nunca mais jogar cartas. to swear someone in fazer com que alguém prometa em público ser fiel a alguma instituição, emprego oficial, etc. all witnesses were sworn in / todas as testemunhas prestaram juramento. to swear someone to secrecy fazer alguém jurar que não vai contar para outras pessoas o que acabou de ser dito. he was sworn to secrecy / ele prestou juramento de guardar segredo. to swear to afirmar ou identificar sob juramento. I could swear to it / eu poderia confirmar isso sob juramento.
sweat	 n 1 suor. 2 suação, transpiração. 3 coll sofrimento, ansiedade que produz suor. 4 umidade, líquido condensado. 5 trabalho duro, exercício. • vt+vi 1 suar, transpirar. 2 fazer suar. 3 fermentar, fazer perder umidade. 4 transudar, sair em gotas. 5 molhar, manchar com suor. 6 condensar umidade do ar. 7 coll sofrer de ansiedade, preocupar-se, etc. 8 maltratar, fazer trabalhar duramente, explorar, extorquir. 9 coll labutar, mourejar, trabalhar duramente. 10 soldar. 11 aquecer (metal) para refiná-lo. 12 sl submeter a interrogatório rigoroso. by the sweat of my brow com o suor do meu rosto. don’t sweat it não se preocupe. don’t sweat the small stuff não se preocupe com coisas sem importância. in a cold sweat fig em um estado de terror ou ansiedade. no sweat sl sem problemas, tranqüilo. to be in a sweat coll estar em apuros. to sweat blood trabalhar ou preocupar-se em excesso. to sweat it out a) agüentar até o fim, conseguir viver em uma época cheia de perigos. b) fazer muitos exercícios físicos, Braz sl malhar muito. to sweat one’s guts out trabalhar muito, especialmente com esforço físico. to sweat something out of someone tirar informações de alguém através de ameaças.
sweatband	 n 1 carneira. 2 faixa colocada na testa ou nos pulsos para absorver o suor.
swedish	Swedish: adj. sueco
sweep	 n 1 varredura, varrição, vassourada, limpeza. 2 movimento impetuoso, impulso. 3 linha curva, perfil. 4 curva, volta. 5 golpe, giro, movimento circular (como com alfanje). 6 extensão, região, área, amplitude, amplidão. 7 alcance, extensão, esfera. 8 limpador de chaminés, varredor. 9 remo comprido. 10 vara comprida para tirar água de poço. 11 folga, jogo. 12 rampa. 13 tipo de aposta em corrida de cavalos em que o ganhador leva tudo. 14 vitória arrasadora. 15 asas de moinho de vento. 16 sweeps (também sweepings) varredura, lixo, sujeira. • vt+vi (ps, pp swept) 1 varrer, limpar, escovar. the waves swept the boat / as ondas lavaram o barco. 2 roçar, tocar. 3 remover, arrastar (no chão), levar de roldão. 4 eliminar, abolir. 5 correr, mover-se rapidamente, passar impetuosamente. 6 andar com pose ou dignidade. 7 estender-se. 8 caçar, tocar. 9 escavar, dragar. 10 procurar, olhar (o horizonte), perscrutar, esquadrinhar, vasculhar. 11 arrebatar, empolgar. 12 assolar, devastar. 13 abarcar, abranger. 14 vencer de forma espetacular, vencer todas as partidas. 15 derramar-se, fluir. a clean sweep a) fig uma limpeza geral. b) uma vitória completa. at one sweep de um só golpe. he swept his pupils along with him ele entusiasmou seu alunos. sweep-net rede de arrasto. to make a clean sweep of a) ganhar todos os prêmios, concursos, etc. b) limpar completamente. to sweep along correr, passar rapidamente, fig voar. to sweep by passar com grande velocidade. to sweep down varrer para baixo. to sweep down on atirar-se sobre. to sweep off arrastar, levar, varrer. to sweep past passar com grande velocidade. to sweep someone off their feet coll fig fazer alguém ficar impressionado, atraído por você. we were swept off our feet / ficamos impressionados, emocionados. to sweep the board ganhar tudo, limpar a mesa (jogo de apostas). to sweep the chimney limpar a chaminé. with a sweep of his hand com um movimento da mão.
sweet	 n 1 coisa doce, doçura. 2 Brit doce, sobremesa. 3 sweets bombom, doce, coisa agradável. 4 querida, amor (forma de tratamento carinhosa). • adj 1 doce, açucarado, adocicado. 2 perfumado, cheiroso, de cheiro agradável. 3 atraente, bonito, gracioso, amável, agradável, encantador. 4 amável, gentil, meigo, suave. 5 fresco, saudável. 6 sl ótimo, excelente. 7 fértil, próprio para cultura (terra). 8 caro, querido. 9 sl apaixonado (geralmente com on). he is mighty sweet on her / sl ele está muito apaixonado por ela. at one’s own sweet will de acordo com sua própria vontade. home sweet home lar doce lar. to have a sweet tooth gostar de doces. she has a sweet tooth / ela gosta de doces.
swiftly	swiftly: adv. rapidamente
swim	n 1 natação, nado, ato de nadar, distância percorrida a nado. 2 the swim vida, corrente da vida. 3 vertigem, tontura. 4 situação geral. 5 área freqüentada por peixes. • vt+vi (ps swam, pp swum). 1 nadar. 2 atravessar a nado. 3 fazer nadar. 4 boiar, flutuar. 5 estar inundado, estar correndo. 6 deslizar. 7 estar tonto ou zonzo, girar. my head swims / minha cabeça gira. • adj de natação. to go for a swim, to take a swim nadar. to swim against the tide nadar contra a correnteza, ir contra a maioria. to swim like a rock fig afundar. to swim with the tide ir com a maioria, ter a mesma opinião que a maioria.
swimmingly	adv facilmente, com sucesso. it goes swimmingly / vai sem dificuldades. we got on swimmingly together / entendemo-nos perfeitamente.
swing	 n 1 balanceio, balouço, oscilação, balanço, vaivém, amplitude de oscilação. 2 impulso. 3 balanço, brinquedo. 4 andar, movimento balançante. 5 ritmo, movimento rítmico. he got into the swing of his work / ele familiarizou-se com seu trabalho. 6 golpe de boxe dado com movimento giratório do braço. 7 liberdade de ação. let young people have their swing / deixe aos moços a sua liberdade. 8 movimento, atividade. 9 (também swing music) tipo de música e dança. 10 inclinação, propensão, tenência, vocação. 11 volta, passeio em trajeto circular. 12 grande alteração, virada. 13 flutuação periódica. • vt+vi (ps swung, swang, pp swung) 1 balançar, oscilar. 2 girar, voltear. 3 mover-se em linha curva. 4 mover-se livremente. 5 pender, pendurar, estar suspenso ou pendurado. 6 brandir, vibrar. 7 Amer, coll influenciar ou lidar com sucesso. 8 tocar música em ritmo de swing. 9 gingar, agitar, mover-se com ritmo. 10 coll morrer enforcado. 11 brincar no balanço. 12 entrar em atividade. 13 badalar, freqüentar os lugares da moda. 14 ter vida sexual ativa e variada. • adj relativo à dança ou música de swing. he’ll swing it coll ele dará um jeito. in full swing em plena atividade, em pleno funcionamento. let him have his full swing of pleasure / deixe-o divertir-se à vontade. swings and roundabouts uma situação na qual vantagens e desvantagens se equivalem. to go with a swing a) ser ritmado. b) seguir sem dificuldades. to swing about sacudir, abalar. to swing both ways ser bissexual. to swing by fazer uma breve visita. to swing into line Mil efetuar uma volta. to swing open abrir-se (porta). to swing round girar, virar-se. to swing the lead sl simular doença para evitar fazer sua tarefa, seu trabalho.
swingeing	 adj Brit coll 1 imenso, enorme. 2 excelente.
swiss	Swiss: n. suíço, Swiss: adj. suíço
switch	 n 1 vara fina e flexível. 2 varada, chibatada, chicotada. 3 trança de cabelos postiços. 4 vareta, graveto. 5 desvio, chave em trilhos. 6 Electr chave, interruptor, comutador. 7 mudança, virada. • vt+vi 1 açoitar, bater, chicotear. 2 balançar, fazer movimentos de vaivém, como uma vara flexível, sacudir, abanar, agitar. 3 Amer desviar, manobrar, mudar para outro trilho. 4 Electr comutar. 5 mudar, trocar, desviar. the conversation switched to politics / a conversa mudou para a política. I’ll be switched Amer coll macacos me mordam. switch off! quieto! cale a boca! switch operating station cabina de comando de chaves. to make the switch fazer a troca. to switch back retornar à situação anterior. to switch off desligar (rádio), apagar, fechar. to switch on ligar, acender, abrir. to switch over mudar, alterar. to switch with someone trocar com alguém.
switchboard	 n 1 painel de comando. 2 Electr quadro de ligação ou de distribuição. 3 mesa telefônica. to jan the switch board congestionar as linhas telefônicas.
swoosh	 n esguichado, jorro. • vt+vi fazer barulho de jorro ou esguichada.
sword	 n 1 espada. 2 força militar. 3 arma branca, baioneta, sabre. at swords points pontos para a briga. at the point of the sword com violência, por meio de força, sob ameaça de morte. avenging sword espada da vingança. the sword of Damocles espada de Dâmocles, desastre eminente. to cross swords with terçar armas com, discutir, opor-se a. to put someone to the sword matar alguém usando a espada. he put them to the sword / ele os passou a fio de espada. two-edged sword fig arma de dois gumes. with the flat of the sword com o lado largo da espada.
swordsmanship	 n arte de espa­da­chim, perícia de esgrimista, arte do manejo da espada.
swot	 n Brit 1 estudo esforçado. 2 estudante esforçado, Braz sl cê-dê-efe, iniciais de cu-de-ferro. • vi Brit estudar com afinco.
sycophancy	 n adulação, bajulação.
sylphlike	 adj semelhante a sílfide, silfídico.
symbiotically	adv simbioticamente.
symbol	n símbolo, figura, imagem, emblema, representação. • vt+vi simbolizar.
symbolic	 adj simbólico, alegórico.
symbolical	adj = symbolic.
symbolism	n simbolismo.
symbolize	vt 1 simbolizar, ser símbolo de, representar. 2 representar por meio de símbolos. 3 usar símbolos.
symptom	 n 1 indício, sinal, fenômeno. 2 Med sintoma.
synaptic	adj sináptico.
syndicalism	 n sindicalismo.
syndicalist	 n sindicalista. • adj sindicalista.
syndrome	 n Path síndrome.
synthesis	 n síntese.
syntonization	 n sintonização.
system	 n 1 sistema, conjunto de partes. 2 grupo de fatos, crenças ou princípios. 3 forma de governo, coordenação de métodos. 4 plano, esquema, método de classificação. 5 organização. 6 organismo. 7 sistema solar. 8 mundo, universo. 9 Geol formação. digestive system aparelho, trato digestivo. planetary system sistema planetário. prison system sistema carcerário. system of pulleys moitão. system of roads rede rodoviária.
systematic	 adj 1 sistemático, de acordo com um plano. 2 sistematizador, em ordem sistemática, arranjado em sistema. 3 metódico, ordenado. 4 classificado.
systematically	adv sistematicamente.
t-shirt	t-shirt: n. t-shirt
ta	interj Brit sl obrigado.
table	 n 1 mesa. she rose from table / ela levantou-se da mesa. 2 fig refeição, alimentação, comida (que está na mesa). 3 pessoas sentadas à mesa. 4 superfície plana, plano. 5 tabela, lista. 6 Archit laje, placa, pedra plana. 7 planalto, platô. 8 tábua, tabuinha (com inscrições). 9 gamão, ou cada uma das metades ou quartas partes do tabuleiro de gamão. 10 faceta superior plana de pedra preciosa. 11 tabuada. • vt 1 colocar na mesa. 2 fazer lista ou tabela. 3 aprontar discussão, colocar na pauta. 4 Amer adiar discussão (de moção, relatório etc.). • adj de mesa. at table à mesa. extensible table mesa elástica. folding table mesa dobradiça. multiplication table tabuada. surgical table mesa de cirurgia. table of contents índice de matéria, sumário. table of interest juros. table of rates tarifas. table of the law as tábuas da lei, os 10 mandamentos (também the tables). the Lord’s Table altar. the tables as tábuas da lei, os 10 mandamentos. to clear the table tirar a mesa. to drink someone under the table beber mais que outra pessoa sem ficar bêbado. to keep a good table ter refeições fartas. to keep the table amused entreter os que estão à mesa. to lay on the table a) Amer adiar a discussão, engavetar. b) Brit colocar em discussão. to lay/spread the table pôr a mesa. to learn the tables aprender a tabuada. to sit down at table sentar-se à mesa. to turn the tables virar o feitiço contra o feiticeiro. to wait at table servir à mesa. under the table a) às escondidas, por baixo do pano. b) bêbado.
taboo	n interdição, proibição. • vt declarar como tabu, interdizer. • adj tabu, proibido, interdito, sagrado. to put a tabu upon a subject declarar um assunto como tabu.
tackle	 n 1 equipamento, aparelho, aparelhagem. 2 moitão, talha, guincho. 3 Amer Ftb médio (esquerdo ou direito). • vt+vi 1 manejar, tentar resolver, lidar, atacar (problema, tarefa). 2 agarrar. 3 Ftb cometer falta. 4 arrear (cavalo). 5 segurar ou fixar com aparelhagem. 6 atracar-se, engalfinhar-se, atacar.
tactical	 adj tático.
tactics	 n pl 1 tática, métodos táticos. 2 Mil operações táticas.
taeniacide	adj tenicida: que mata a tênia.
taeniafuge	 adj tenífugo: que expele a tênia.
taeniasis	n Med teníase.
tail	n 1 rabo, cauda. 2 cauda de vestido. 3 cauda de avião. 4 cauda de um cometa. 5 parte traseira, fim, final, séquito, comitiva, conclusão. 6 trança, rabo de cabelo. 7 tails verso de moeda, coroa. 8 fraque, terno a rigor. 9 morgado, propriedade vinculada. 10 Typogr pé de página. 11 sl nádegas, traseiro. 12 sl pessoa contratada para seguir alguém, “sombra”. 13 sl genitália feminina ou o pênis. 14 sl relação sexual. • vt+vi 1 colocar um rabo ou uma cauda. 2 formar a cauda, o fim, o final. 3 seguir imediatamente. 4 juntar, adicionar, emendar (uma coisa no fim de outra), amarrar por uma extremidade. 5 sl seguir, espionar. • adj no fim, nas costas, atrás. heads or tails? cara ou coroa? (ao tirar a sorte com moeda). not to make head or tail of it não entender, não saber qual é o começo e o fim. out of the tail of one’s eye com um olho de soslaio. tail of the eye canto do olho. to tail after someone seguir alguém nos calcanhares. to tail away sumir, diminuir, decrescer. to tail in fixar por uma extremidade. to tail off diminuir, enfraquecer. to turn tail virar as costas, fugir, escapar. to twist the lion’s tail irritar a Inglaterra. to wear the hair in tails usar o cabelo trançado. with one’s tail between one’s legs com o rabo entre as pernas.
tailboard	 n tampa traseira móvel de caminhão, carreta ou carroça.
tailpiece	 n 1 Typogr vinheta. 2 parte traseira. 3 Mus estandarte: peça dos instrumentos de arco que suporta as cordas.
take	 n 1 quantidade que se pegou. 2 ato de pegar. 3 objeto que se pegou. 4 Cin tomada. 5 receita, renda. 6 parte, quinhão. 7 cicatriz de vacina. • vt+vi (ps took, pp taken) 1 tomar, pegar. a pain took him in the leg / ele foi tomado de dores na perna. 2 alcançar, agarrar, prender, capturar, apropriar-se. 3 arrebatar, arrancar, levar. 4 receber (como pagamento), aceitar, obter, adquirir. he won’t take “no” for an answer / ele não vai aceitar um “não” como resposta. 5 tomar, receber como marido ou mulher, tomar alojamento ou pensão. 6 suportar, receber, acolher. 7 tomar, comer, beber, engolir, consumir. 8 ganhar. 9 apanhar, contrair (doença). 10 ocupar. 11 usar, tomar (um veículo). 12 aproveitar (oportunidade). 13 tirar, tomar (férias). 14 submeter-se, sofrer, agüentar, aturar. I wouldn’t take it from anybody / não aturaria isso de ninguém. he couldn’t take it / Amer coll ele não agüentou. 15 necessitar, requerer, exigir. it takes an honest man to... / é necessário um homem honesto para... he’s got what it takes / ele possui as qualidades necessárias. 16 abranger, ocupar, consumir (tempo). 17 escolher, selecionar. 18 afastar, remover (por morte). 19 diminuir, prejudicar. 20 subtrair, extrair, extorquir, fraudar, lesar, roubar. 21 guiar, levar. 22 acompanhar, escoltar, levar. 23 carregar, transportar. 24 tirar (fotografia). 25 ser fotogênico. 26 sentir (orgulho). 27 determinar, verificar. 28 agir, ter efeito. 29 compreender. 30 supor, presumir. how old do you take him? / quantos anos lhe dá? 31 considerar. 32 assumir (responsabilidade), adotar. 33 alugar, empregar. 34 escrever, anotar. 35 tomar assinatura, assinar. 36 Gram ser usado com. 37 agradar, atrair, encantar. 38 prender (a atenção). 39 ir, andar. 40 vencer, conquistar, tomar (obstáculo). 41 ficar, tornar-se. 42 pegar, começar a crescer. 43 ser afetado por, sentir, experimentar, contrair. 44 fig manietar, subjugar. 45 assaltar, surpreender. 46 necessitar, custar. 47 colher. 48 fazer (viagem). 49 conquistar. 50 enveredar. 51 deduzir. 52 inflamar-se. 53 conceber, emprenhar, engravidar. 54 morder a isca. 55 preparar-se, empreender. as I take it a meu ver, na minha opinião. don’t take on so much about that não se preocupe tanto com isso, não faça tanto caso disso. it takes two to make a bargain quando um não quer dois não brigam. take it on! tome conta disso! take it or leave it! faça como quiser! take me, for example eu, por exemplo. taken all round considerado em conjunto. to be taken ill ficar doente. to be taken out of oneself ficar fora de si. to be taken with estar encantado com, ficar impressionado com. to take aback surpreender, espantar (alguém). to take a back seat deixar-se suplantar, aceitar ou receber lugar inferior, ser demasiado modesto. to take a breath respirar para descansar. to take account of prestar atenção a, considerar. to take action a) tomar medidas. b) Jur demandar. to take advantage of tirar proveito de, prevalecer-se de. to take after puxar a, sair à semelhança de. she takes after her mother / ela puxa à mãe. to take aim visar. to take a joke topar uma brincadeira. to take along levar. to take amiss levar a mal, sentir-se ofendido. to take away a) tirar, roubar, tomar. b) descontar. c) levar embora, afastar. to take back a) levar de volta, retirar. b) aceitar de volta. to take care ser cauteloso, tomar cuidado. to take care of cuidar de. to take charge of encarregar-se de. to take down a) tirar de cima, descer, trazer para baixo. b) escrever, anotar, registrar por escrito, tomar nota. c) derrubar (árvore), demolir (casa). d) passar na frente, transpassar. to take down a peg humilhar, baixar a estima. they took him down a peg / tiraram-lhe a prosa. to take effect entrar em vigor. to take evasive action coll evadir-se. to take exception at não gostar de. she took exception at what he said / ela não gostou do que ele disse. to take felt Mil dar baixa. to take fire a) inflamar-se. b) fig exaltar-se. to take for tomar por, considerar, confundir com. to take for a walk levar para um passeio. to take for granted tomar como certo, não dar atenção por julgar óbvio. to take forward favorecer, proteger. to take from tirar, descontar. to take heed tomar conhecimento de, considerar. to take hold of pegar. to take in a) tomar, absorver, chupar, comer, recolher, guardar (velas). b) receber (dinheiro), comprar (mercadorias). c) receber (hóspede). d) recolher, aceitar em casa. e) receber (trabalho) para fazer em casa. f) notar, perceber. g) compreender. h) engolir (mentiras). i) enganar. you can’t take me in / você não pode me tapear. to take in hand empreender, tentar. to take into account levar em conta, considerar. to take into one’s head dar na cabeça, decidir-se. to take in vain fazer mau uso, abusar. to take it easy ir com calma, ir devagar. to take it from someone acreditar em alguém. to take leave a) despedir-se, partir. b) Mil pedir licença. to take long tomar tempo, levar tempo. it would take us too long / isto nos tomaria tempo demais. how long does it take? / quanto tempo leva? to take lying down aceitar sem protesto ou defesa. to take off a) tirar. it was taken off my hands / foi tirado das minhas mãos. b) levantar vôo, decolar (também fig). he’ll take off any minute now / ele vai decolar a qualquer momento, vai começar a fazer sucesso. c) escapar, safar-se. he took himself off / coll ele safou-se, ele deu às de vila-diogo. d) exonerar. they took him off / eles exoneraram-no. to take on a) tomar conta. b) empregar, contratar. c) assumir (aparência). d) adotar, adquirir, contrair. to take one’s life into one’s hands Amer coll tomar o próprio destino nas mãos. to take one’s time não se apressar. to take on in the service alistar-se no serviço militar. to take out a) tirar, comprar. b) tirar de dentro. c) arrancar (dente). d) sacar (dinheiro). e) emprestar (livro). f) tirar (mancha). g) convidar uma dama (para dançar). h) escolher, reservar (mercadorias). i) levar para um passeio. will you take us out on Sunday? / você nos levará para passear domingo? to take out a licence tirar um documento de licença. to take over a) assumir (cargo, serviço), tomar posse. b) levar alguma coisa a alguém. to take part in tomar parte. to take path jurar. to take place acontecer, ocorrer. to take root arraigar, criar raízes, firmar-se. to take someone by surprise surpreender alguém, pegar de surpresa. to take someone by the hand a) pegar alguém pela mão. b) fig proteger alguém. to take someone for a ride Amer coll levar alguém para um passeio (a fim de matar). to take something off one’s hands encarregar-se de alguma coisa. to take steps tomar medidas. to take stock of examinar, analisar. to take the air a) Aeron levantar vôo. b) sair ao ar livre para um passeio. to take the cake ser o melhor. to take through rever, estudar. to take to a) ir para. b) refugiar-se em. the fox took to the earth / a raposa refugiou-se na cova. c) ocupar-se, dedicar-se. he takes to study / ele dedica-se aos estudos. d) afeiçoar-se, dar-se bem com. children take to him / crianças gostam dele. e) começar a fazer habitualmente, acostumar-se. we took kindly to this way of life / acostumamo-nos facilmente a este modo de vida. to take to heart levar a sério. to take to one’s bed ficar de cama por doença. she took to her bed / ela ficou de cama (por doença). to take to one’s heels correr, fugir. to take to pieces desmontar. to take up a) começar a estudar. he took up law / ele começou a estudar Direito. b) encurtar, diminuir. you’d better take that skirt up a little / é melhor você encurtar um pouco essa saia. c) adotar, começar, seguir. he took up teaching / ele seguiu a carreira de professor. d) ocupar, fazer uso de. e) utilizar, absorver. it takes up all my time / isto toma todo meu tempo. to take upon oneself tomar sob sua responsabilidade, assumir o encargo. to take up the cudgels for someone apoiar alguém, ficar do lado de alguém. to take up with ter relações, ter amizade com. what size do you take? que tamanho você usa?
take advantage of	take advantage of: aproveitar
take away	n 1 comida para ser levada para casa. 2 restaurante que vende comida pronta para levar para casa. • adj para viagem, para ser levado para casa.
take care	take care: cuidar
take off	take off: sep. sacar
take out	take out: sep. sacar
take part	take part: intervir, take part: participar
taken altogether	taken altogether: adv. ao todo
tale	 n 1 narrativa, história, narração, conto. the thing tells its own tale / a coisa fala por si. thereby hangs a tale / a isto liga-se uma história. 2 mentira, falsidade. fairy tale conto de fadas. to tell a tale revelar algo importante. to tell tales fuxicar, fofocar.
talent	 n talento: 1 aptidão, habilidade. 2 pessoa talentosa. they are the talent of the town / eles representam a inteligência da cidade. 3 unidade de peso e moeda da Antiguidade. a man of talent(s) um homem talentoso.
talk	 n 1 conversa, conversação. 2 conferência, discurso, conselho. 3 fala. 4 boato, rumor. it’s the talk of the town / é o assunto da cidade. 5 tagarelice, palra. • vt+vi 1 falar, conversar, dizer. 2 levar a, influenciar. money talks / dinheiro convence. 3 discutir. 4 consultar, conferenciar. 5 manifestar-se, explicar. 6 palrar, tagarelar. let’s talk it over conversemos (seriamente) sobre o assunto. now you are talking isto, sim, que é proposta. small talk conversa superficial. talking of it falando nisso. talk is cheap! falar é fácil! to talk against time falar para preencher o tempo. to talk away matar o tempo com conversa amigável, Brit coll jogar conversa fora. to talk back dar uma resposta rude. to talk big sl contar vantagem. to talk down to tratar de modo superior. to talk into persuadir. to talk of falar sobre, discutir, mencionar. don’t talk of it! / nem fale disto! to talk politics discutir sobre política. to talk round a) falar sem chegar ao assunto. b) convencer, persuadir. to talk sense falar com juízo. to talk someone down não deixar falar, calar. to talk someone out of convencer alguém. he won’t be talked out of it / não se deixa levar na conversa. to talk someone’s head off sl falar demais. to talk tall gabar-se, vangloriar-se. to talk to falar com. I talked to him / falei (seriamente) com ele. to talk turkey falar francamente. to talk with falar para dar instruções, admoestar ou persuadir. you can talk! coll você fala de barriga cheia!
talkie	 n (pl talkies) filme sonoro, cinema falado.
tall	 adj 1 alto, grande. 2 elevado. 3 exagerado, inacreditável. a tall order a) uma obrigação difícil. b) despropósito. how tall are you? que altura tem você? tall talk ato de contar vantagem, exagero. to talk tall falar afetadamente.
tallboy	 n 1 armário alto com gavetas. 2 espelho com cabo longo.
tank	 n 1 tanque, reservatório, cisterna, caixa-d’água. 2 cela de prisão. 3 Mil tanque: carro blindado. • vt 1 encher um tanque, colocar num tanque. 2 abastecer de combustível. to fill up the tank encher o tanque.
tape	 n 1 fita, cadarço. 2 fita (de aço), trena. 3 fita adesiva. 4 tira de papel no telégrafo. • vt+vi colocar fita, amarrar com fita. insulation tape Electr fita isolante. magnetic tape fita magnética. masking tape fita crepe. red tape burocracia. to breast the tape Sport romper a fita de chegada. videotape fita de vídeo.
tappet	 n Mech braço, alavanca.
target	 n 1 alvo: a) fig pessoa ou objeto vítima de ataque ou crítica. b) objeto a ser atingido. 2 rail sinal em forma de disco. 3 TV tela de tubo de raios catódicos. 4 Electr ânodo fluorescente da válvula indicadora de sintonia.
tarmacadam	 n macadame alca­troado.
tarn	 n pequeno lago nas montanhas.
task	 n 1 tarefa, incumbência, serviço, dever. 2 lição. • vt 1 incumbir, forçar (a trabalhar). 2 sobrecarregar, forçar. daily task trabalho diário. hard task tarefa árdua. to set someone a task incumbir alguém de uma tarefa. to take / call someone to task for something repreender, censurar alguém por alguma coisa.
taste	 n 1 gosto: a) sabor, paladar. b) bom gosto. what bad taste! / que falta de gosto! c) sentido do paladar. d) distinção, elegância. e) inclinação, predileção, propensão. f) critério, discernimento. 2 gustação, prova. 3 pouquinho, bocado, amostra. • vt+vi 1 experimentar, provar. I had not tasted food for days / tinha ficado dias sem comer. 2 sentir o gosto. 3 ter gosto de. it tastes sweet / é doce. 4 saborear, apreciar, experimentar. tastes differ, there is no accounting for tastes gostos não se discutem. to have a taste for apreciar. he has a taste for music / ele aprecia música. to take a taste of experimentar um pouco, provar. 
tater	 n coll batata, batatinha.
tattie	n Scot batata, batatinha.
taut	 adj 1 esticado, teso, tenso. 2 em ordem, em condições.
tauten	vt+vi esticar(-se), entesar(-se).
tautologically	adv tautologica­mente.
tax	 n 1 imposto, tributo, taxa. 2 encargo, dever, obrigação, imposição. 3 taxação. • vt 1 taxar, cobrar imposto, tributar. 2 impor, sobrecarregar, esforçar. 3 reprovar, acusar. I am not to be taxed with it / não devo ser acusado disto. 4 estabelecer preço, fixar custos. a great tax upon my time uma grande perda de tempo para mim. highway tax imposto sobre propriedade de veículos automotores (IPVA). income tax imposto de renda. land tax imposto territorial. property tax imposto predial e territorial urbano (IPTU). tax on trade imposto de indústria e comércio. to impose a tax on taxar, tributar a. 
taxation	 n 1 taxação. 2 impostos.
